" NASHVILLE",1010  N 6TH ST,52500
" NASHVILLE",1018  N 6TH ST,35000
" NASHVILLE",1028  N 6TH ST,65000
" NASHVILLE",1028  N 6TH ST,93000
" NASHVILLE",1029  N 6TH ST,85000
" NASHVILLE",1027  N 6TH ST,65500
" NASHVILLE",1017  N 6TH ST,52000
" NASHVILLE",1013  N 6TH ST,90000
" NASHVILLE",819  W GREENWOOD AVE,65000
" NASHVILLE",821  W GREENWOOD AVE,50000
" NASHVILLE",808  W GREENWOOD AVE,95000
" NASHVILLE",873  SHARPE AVE,100000
" NASHVILLE",870  SHARPE AVE,70000
" NASHVILLE",886  SHARPE AVE,30000
" NASHVILLE",883  CARTER ST,16000
" NASHVILLE",881  CARTER ST,42500
" NASHVILLE",0  CARTER ST,12500
" NASHVILLE",878  CARTER ST,75000
" NASHVILLE",886  CARTER ST,90000
" NASHVILLE",879  GRANADA AVE,47000
" NASHVILLE",912  APEX ST,5000
" NASHVILLE",1000  MCFERRIN AVE,75000
" NASHVILLE",810  PETWAY AVE,95000
" NASHVILLE",814  PETWAY AVE,65000
" NASHVILLE",906  GRANADA AVE,87500
" NASHVILLE",910  MANILA AVE,78000
" NASHVILLE",909  PETWAY AVE,66500
" NASHVILLE",903 MANILA  AVE,80000
" NASHVILLE",926 B  N 6TH ST,100000
" NASHVILLE",905 MANILA  AVE,80000
" NASHVILLE",405  BUCHANAN ST,42500
" NASHVILLE",1733  4TH AVE N,81000
" NASHVILLE",1726  4TH AVE N,75200
" NASHVILLE",1811  3RD AVE N,81500
" NASHVILLE",1811 A  3RD AVE N,86500
" NASHVILLE",1811 B  3RD AVE N,86500
" NASHVILLE",812  N 2ND ST,36000
" NASHVILLE",812  N 2ND ST,75000
" NASHVILLE",824  N 2ND ST,16000
" NASHVILLE",328  WILBURN ST,70000
" NASHVILLE",317  HANCOCK ST,35000
" NASHVILLE",731  JOSEPH AVE,80000
" NASHVILLE",717  JOSEPH AVE,40000
" NASHVILLE",715  JOSEPH AVE,35000
" NASHVILLE",526  N 2ND ST,45200
" NASHVILLE",612  N 2ND ST,65000
" NASHVILLE",700  N 2ND ST,21000
" NASHVILLE",710  N 2ND ST,28000
" NASHVILLE",619 B  N 2ND ST,89500
" NASHVILLE",609  N 2ND ST,90000
" NASHVILLE",212  BERRY ST,61000
" NASHVILLE",222  BERRY ST,54000
" NASHVILLE",712  STOCKELL ST,30000
" NASHVILLE",715  STOCKELL ST,100000
" NASHVILLE",711  STOCKELL ST,32500
" NASHVILLE",300  HANCOCK ST,27000
" NASHVILLE",300  HANCOCK ST,52000
" NASHVILLE",301  GRACE ST,100000
" NASHVILLE",705  LISCHEY AVE,88000
" NASHVILLE",717  LISCHEY AVE,90000
" NASHVILLE",719  LISCHEY AVE,47500
" NASHVILLE",815  LISCHEY AVE,100000
" NASHVILLE",814  N 5TH ST,70000
" NASHVILLE",632  N 5TH ST,12500
" NASHVILLE",614 N 5TH ST,90000
" NASHVILLE",606  N 5TH ST,55500
" NASHVILLE",836  JOSEPH AVE,40000
" NASHVILLE",220  BERRY ST,50000
" NASHVILLE",801  N 6TH ST,9000
" NASHVILLE",0  ARRINGTON ST,9000
" NASHVILLE",708  NEILL AVE,90500
" NASHVILLE",705  NEILL AVE,98000
" NASHVILLE",0 NEILL  AVE,100000
" NASHVILLE",923  W EASTLAND AVE,85000
" NASHVILLE",701  N 9TH ST,65000
" NASHVILLE",905 MANSFIELD  ST,90000
" NASHVILLE",416  MYRTLE ST,35000
" NASHVILLE",620  MYRTLE ST,65500
" NASHVILLE",722  MYRTLE ST,100000
